食品名,エネルギーkcal,たんぱく質,脂質,炭水化物,食塩相当量,,,,,,,
こめ　［うるち米製品］　おにぎり,170.0 ,2.7 ,0.3 ,39.4 ,0.5 ,,,,,,,
こめ　［うるち米製品］　焼きおにぎり,166.0 ,3.1 ,0.3 ,39.5 ,1.0,,,,,,,
こめ　［うるち米製品］　きりたんぽ,200.0 ,3.2 ,0.4 ,46.2 ,0,,,,,,,
こめ　［うるち米製品］　上新粉,343.0 ,6.2 ,0.9 ,78.5 ,0,,,,,,,
こめ　［うるち米製品］　玄米粉,370.0 ,7.1 ,2.9 ,84.1 ,0,,,,,,,
こめ　［うるち米製品］　米粉,356.0 ,6.0,0.7 ,81.9 ,0,,,,,,,
こめ　［うるち米製品］　米粉パン　食パン,247.0 ,10.7 ,5.1 ,41.6 ,1.1 ,,,,,,,
こめ　［うるち米製品］　米粉パン　ロールパン,256.0 ,8.8 ,6.7 ,42.0 ,0.9 ,,,,,,,
こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,247.0 ,3.4 ,3.1 ,51.3 ,0.9 ,,,,,,,
こめ　［うるち米製品］　米粉めん,252.0 ,3.6 ,0.7 ,58.4 ,0.1 ,,,,,,,
こめ　［うるち米製品］　ビーフン,360.0 ,7.0,1.6 ,79.9 ,0,,,,,,,
こめ　［うるち米製品］　ライスペーパー,339.0 ,0.5 ,0.3 ,84.3 ,1.7 ,,,,,,,
こめ　［うるち米製品］　米こうじ,260.0 ,5.8 ,1.7 ,59.2 ,0,,,,,,,
こめ　［もち米製品］　もち,223.0 ,4.0,0.6 ,50.8 ,0,,,,,,,
こめ　［もち米製品］　赤飯,186.0 ,4.3 ,0.6 ,41.9 ,0,,,,,,,
こめ　［もち米製品］　あくまき,131.0 ,2.3 ,1.8 ,25.7 ,0,,,,,,,
こめ　［もち米製品］　白玉粉,347.0 ,6.3 ,1.0,80.0,0,,,,,,,
こめ　［もち米製品］　道明寺粉,349.0 ,7.1 ,0.7 ,80.4 ,0,,,,,,,
こめ　［その他］　米ぬか,374.0 ,13.4 ,19.6 ,48.8 ,0,,,,,,,
そば　そば粉　全層粉,339.0 ,12.0,3.1 ,69.6 ,0,,,,,,,
そば　そば粉　内層粉,342.0 ,6.0,1.6 ,77.6 ,0,,,,,,,
そば　そば粉　中層粉,334.0 ,10.2 ,2.7 ,71.6 ,0,,,,,,,
そば　そば粉　表層粉,337.0 ,15.0,3.6 ,65.1 ,0,,,,,,,
そば　そば米,347.0 ,9.6 ,2.5 ,73.7 ,0,,,,,,,
そば　そば　生,271.0 ,9.8 ,1.9 ,54.5 ,0,,,,,,,
そば　そば　ゆで,130.0 ,4.8 ,1.0,26.0,0,,,,,,,
そば　そば　半生そば,325.0 ,10.5 ,3.8 ,61.8 ,0,,,,,,,
そば　干しそば　乾,344.0 ,14.0,2.3 ,66.7 ,2.2 ,,,,,,,
そば　干しそば　ゆで,113.0 ,4.8 ,0.7 ,22.1 ,0.1 ,,,,,,,
とうもろこし　玄穀　黄色種,341.0 ,8.6 ,5.0,70.6 ,0,,,,,,,
とうもろこし　玄穀　白色種,341.0 ,8.6 ,5.0,70.6 ,0,,,,,,,
とうもろこし　コーンミール　黄色種,375.0 ,8.3 ,4.0,72.4 ,0,,,,,,,
とうもろこし　コーンミール　白色種,375.0 ,8.3 ,4.0,72.4 ,0,,,,,,,
とうもろこし　コーングリッツ　黄色種,352.0 ,8.2 ,1.0,76.4 ,0,,,,,,,
とうもろこし　コーングリッツ　白色種,352.0 ,8.2 ,1.0,76.4 ,0,,,,,,,
とうもろこし　コーンフラワー　黄色種,347.0 ,6.6 ,2.8 ,76.1 ,0,,,,,,,
とうもろこし　コーンフラワー　白色種,347.0 ,6.6 ,2.8 ,76.1 ,0,,,,,,,
とうもろこし　ジャイアントコーン　フライ　味付け,409.0 ,5.7 ,11.8 ,76.6 ,1.1 ,,,,,,,
とうもろこし　ポップコーン,472.0 ,10.2 ,22.8 ,59.6 ,1.4 ,,,,,,,
とうもろこし　コーンフレーク,380.0 ,7.8 ,1.7 ,83.6 ,2.1 ,,,,,,,
はとむぎ　精白粒,353.0 ,13.3 ,1.3 ,72.2 ,0,,,,,,,
ひえ　精白粒,361.0 ,9.4 ,3.3 ,73.2 ,0,,,,,,,
もろこし　玄穀,344.0 ,10.3 ,4.7 ,71.1 ,0,,,,,,,
もろこし　精白粒,348.0 ,9.5 ,2.6 ,74.1 ,0,,,,,,,
ライむぎ　全粒粉,317.0 ,12.7 ,2.7 ,70.7 ,0,,,,,,,
ライむぎ　ライ麦粉,324.0 ,8.5 ,1.6 ,75.8 ,0,,,,,,,
＜いも類＞　アメリカほどいも　塊根　生,146.0 ,5.9 ,0.6 ,35.6 ,0,,,,,,,
＜いも類＞　アメリカほどいも　塊根　ゆで,144.0 ,6.0,0.8 ,34.5 ,0,,,,,,,
＜いも類＞　きくいも　塊茎　生,66.0 ,1.9 ,0.4 ,14.7 ,0,,,,,,,
＜いも類＞　きくいも　塊茎　水煮,51.0 ,1.6 ,0.5 ,11.3 ,0,,,,,,,
＜いも類＞　こんにゃく　精粉,194.0 ,3.0,0.1 ,85.3 ,0,,,,,,,
＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく,5.0 ,0.1 ,Tr,2.3 ,0,,,,,,,
＜いも類＞　こんにゃく　板こんにゃく　生いもこんにゃく,8.0 ,0.1 ,0.1 ,3.3 ,0,,,,,,,
＜いも類＞　こんにゃく　赤こんにゃく,6.0 ,0.1 ,Tr,2.5 ,0,,,,,,,
＜いも類＞　こんにゃく　凍みこんにゃく　乾,192.0 ,3.3 ,1.4 ,77.1 ,0.1 ,,,,,,,
＜いも類＞　こんにゃく　凍みこんにゃく　ゆで,42.0 ,0.7 ,0.3 ,16.8 ,0,,,,,,,
＜いも類＞　こんにゃく　しらたき,7.0 ,0.2 ,Tr,3.0,0,,,,,,,
＜いも類＞　さつまいも類　さつまいも　塊根　皮つき　生,127.0 ,0.9 ,0.5 ,33.1 ,0.1 ,,,,,,,
＜いも類＞　さつまいも類　さつまいも　塊根　皮つき　蒸し,129.0 ,0.9 ,0.2 ,33.7 ,0.1 ,,,,,,,
＜いも類＞　さつまいも類　さつまいも　塊根　皮つき　天ぷら,205.0 ,1.4 ,6.8 ,38.4 ,0.1 ,,,,,,,
＜いも類＞　さつまいも類　さつまいも　塊根　皮なし　生,126.0 ,1.2 ,0.2 ,31.9 ,0,,,,,,,
＜いも類＞　さつまいも類　さつまいも　塊根　皮なし　蒸し,131.0 ,1.2 ,0.2 ,31.9 ,0,,,,,,,
＜いも類＞　さつまいも類　さつまいも　塊根　皮なし　焼き,151.0 ,1.4 ,0.2 ,39.0,0,,,,,,,
＜いも類＞　さつまいも類　さつまいも　蒸し切干,277.0 ,3.1 ,0.6 ,71.9 ,0,,,,,,,
＜いも類＞　さつまいも類　むらさきいも　塊根　皮なし　生,123.0 ,1.2 ,0.3 ,31.7 ,0.1 ,,,,,,,
＜いも類＞　さつまいも類　むらさきいも　塊根　皮なし　蒸し,122.0 ,1.2 ,0.3 ,31.4 ,0.1 ,,,,,,,
＜いも類＞　さといも類　さといも　球茎　生,53.0 ,1.5 ,0.1 ,13.1 ,0,,,,,,,
＜いも類＞　さといも類　さといも　球茎　水煮,52.0 ,1.5 ,0.1 ,13.4 ,0,,,,,,,
